,index_0=aggregated,scoreOnClassfication_BaseModel,scoreOnClassfication_PredictedModel,tp,fn,fp,tn,precision,recall,f1
170,20,1.0,0.984,492,8,0,0,1.0,0.984,0.9919354838709677
171,20,1.0,0.966,483,17,0,0,1.0,0.966,0.982706002034588
172,20,1.0,0.972,486,14,0,0,1.0,0.972,0.9858012170385395
173,20,0.998,0.956,478,21,1,0,0.9979123173277662,0.9579158316633266,0.9775051124744376
174,20,0.998,0.982,491,9,0,0,1.0,0.982,0.9909182643794148
175,20,1.0,0.988,494,6,0,0,1.0,0.988,0.993963782696177
176,20,1.0,0.964,482,18,0,0,1.0,0.964,0.9816700610997963
177,20,1.0,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
178,20,0.992,0.986,493,2,5,0,0.9899598393574297,0.9959595959595959,0.9929506545820745
179,20,1.0,0.974,487,13,0,0,1.0,0.974,0.9868287740628165
180,20,0.996,0.992,496,3,1,0,0.9979879275653923,0.9939879759519038,0.995983935742972
181,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
182,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
183,20,0.998,0.942,471,29,0,0,1.0,0.942,0.9701338825952626
184,20,0.998,0.992,496,3,1,0,0.9979879275653923,0.9939879759519038,0.995983935742972
185,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
186,20,1.0,0.988,494,6,0,0,1.0,0.988,0.993963782696177
187,20,0.994,0.986,493,6,1,0,0.9979757085020243,0.9879759519038076,0.9929506545820747
188,20,0.98,0.96,480,13,7,0,0.9856262833675564,0.973630831643002,0.9795918367346939
189,20,0.99,0.978,489,7,4,0,0.9918864097363083,0.9858870967741935,0.9888776541961577
190,20,0.992,0.986,493,4,3,0,0.9939516129032258,0.9919517102615694,0.9929506545820745
191,20,0.994,0.988,494,3,3,0,0.993963782696177,0.993963782696177,0.993963782696177
192,20,0.996,0.984,492,6,2,0,0.9959514170040485,0.9879518072289156,0.9919354838709677
193,20,0.994,0.978,489,9,2,0,0.9959266802443992,0.9819277108433735,0.9888776541961579
194,20,0.992,0.98,490,5,5,0,0.98989898989899,0.98989898989899,0.98989898989899
195,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
196,20,1.0,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
197,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
198,20,0.998,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
199,20,0.986,0.986,493,4,3,0,0.9939516129032258,0.9919517102615694,0.9929506545820745
